GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProjetoPOO,Vintage.mvc,Main,26,0,0,0,7,0,2,0,2,0
ProjetoPOO,Vintage.mvc,Viewer,2325,0,189,0,609,0,128,0,20,0
ProjetoPOO,Vintage.mvc,Controller,359,0,0,0,79,0,47,0,47,0
ProjetoPOO,Vintage.mvc,Model,2181,0,188,0,480,0,157,0,59,0
ProjetoPOO,Vintage.qql,Encomenda,308,0,20,0,78,0,31,0,21,0
ProjetoPOO,Vintage.qql,TShirt.Tamanho,44,0,0,0,5,0,1,0,1,0
ProjetoPOO,Vintage.qql,Mala,251,0,22,0,55,0,28,0,17,0
ProjetoPOO,Vintage.qql,Fatura,79,0,0,0,24,0,12,0,12,0
ProjetoPOO,Vintage.qql,TShirt.Padrao,34,0,0,0,4,0,1,0,1,0
ProjetoPOO,Vintage.qql,Encomenda.EstadoEncomenda,44,0,0,0,5,0,1,0,1,0
ProjetoPOO,Vintage.qql,Encomenda.TamanhoEmbalagem,34,0,0,0,4,0,1,0,1,0
ProjetoPOO,Vintage.qql,Sapatilha,259,0,24,0,61,0,30,0,18,0
ProjetoPOO,Vintage.qql,TShirt,220,0,25,0,53,0,28,0,13,0
ProjetoPOO,Vintage.qql,Fatura.Tipo,24,0,0,0,3,0,1,0,1,0
ProjetoPOO,Vintage.qql,Utilizador,565,0,52,0,138,0,61,0,35,0
ProjetoPOO,Vintage.qql,Artigo,415,0,42,0,102,0,54,0,33,0
ProjetoPOO,Vintage.qql,Transportadora,279,0,4,0,78,0,23,0,21,0
